station,mu_cum,mu_KS
7,10,26
11,11,22
18,10,11
22,10,16
23,10,17
25,10,11
26,10,11
30,10,12
36,11,11
38,10,10
39,10,12
41,10,10
46,10,13
51,9,11
52,10,15
64,10,10
65,10,15
66,10,10
67,10,23
68,10,17
70,10,16
72,10,16
76,10,10
78,10,11
80,10,24
81,10,18
82,10,11
84,10,28
85,10,27
92,10,24
98,10,46
100,10,74
102,12,85
109,10,10
110,10,17
111,10,35
122,10,37
123,10,10
124,11,19
125,11,18
128,10,14
131,11,35
132,10,11
135,10,16
136,10,11
137,10,12
138,10,12
142,10,17
143,10,13
144,10,10
145,10,167
146,10,10
147,10,10
148,10,11
149,10,13
150,10,21
151,10,17
152,10,29
155,10,10
158,10,22
168,10,15
173,10,45
175,12,88
178,10,10
180,10,22
188,11,74
189,10,13
191,10,25
193,10,28
194,10,10
196,10,14
201,11,27
205,12,13
206,10,12
208,10,34
209,10,27
210,10,10
